ADEDO2,ADEDO2_GDS10_SFC
AEVAP_S,AEVAP_GDS10_SFC_acc*
ALB_RAD,ALB_RAD_GDS10_SFC
ALHFL_S,ALHFL_GDS10_SFC_ave*
ALWD_S,ALWD_GDS10_SFC_ave*
ALWU_S,ALWU_GDS10_SFC_ave*
APAB_S,APAB_GDS10_SFC_ave*
ASHFL_S,ASHFL_GDS10_SFC_ave*
ASOB_S,ASOB_GDS10_SFC_ave*
ASOB_T,ASOB_GDS10_NTAT_ave*
ASWDIFD_S,ASWDIFD_GDS10_SFC_ave*
ASWDIFU_S,ASWDIFU_GDS10_SFC_ave*
ASWDIR_S,ASWDIR_GDS10_SFC_ave*
ATHB_S,ATHB_GDS10_SFC_ave*
ATHB_T,ATHB_GDS10_NTAT_ave*
AUMFL_S,AUMFL_GDS10_SFC_ave*
AUSTRSSO,AUSTRSSO_GDS10_SFC_ave*
AVDISSSO,AVDISSSO_GDS10_SFC_ave*
AVMFL_S,AVMFL_GDS10_SFC_ave*
AVSTRSSO,AVSTRSSO_GDS10_SFC_ave*
BAS_CON,BAS_CON_GDS10_SFC
BOAGAE_WE,BOAGAE_WE_GDS10_SFC
BOAGAE_SN,BOAGAE_SN_GDS10_SFC
BOAGAW_WE,BOAGAW_WE_GDS10_SFC
BOAGAW_SN,BOAGAW_SN_GDS10_SFC
BRN,BRN_GDS10_*
Ba-140,Ba140_GDS10_*
Ba-140_BL,Ba140_GDS10_HTGL
Ba-140_DD,Ba140_DD_GDS10_SFC
Ba-140_WD,Ba140_WD_GDS10_SFC
CAPE_3KM,CAPE_3KM_GDS10_SFC
CAPE_CON,CAPE_CON_GDS10_SFC
CAPE_ML,CAPE_ML_GDS10_SFC
CAPE_MU,CAPE_MU_GDS10_SFC
CFLDT,CFLDT_GDS10_*
CEILING,CEILING_GDS10_SFC
CIN_ML,CIN_ML_GDS10_SFC
CIN_MU,CIN_MU_GDS10_SFC
CLC,CLC_GDS10_*
CLCH,CLCH_GDS10_SFC
CLCL,CLCL_GDS10_SFC
CLCM,CLCM_GDS10_SFC
CLCT,CLCT_GDS10_SFC
CLCT_MOD,CLCT_MOD_GDS10_SFC
CLC_CON,CLC_CON_GDS10_*
CLC_SGS,CLC_SGS_GDS10_*
CLDEPTH,CLDEPTH_GDS10_SFC
CLI_RATIO,CLI_RATIO_GDS10_*
CLW_CON,CLW_CON_GDS10_*
CN_TSTORM,CN_TSTORM_GDS10_SFC
CONV_%,CONV_%_GDS10_SFC
C_TSTORM,C_TSTORM_GDS10_SFC
C_T_LK,C_T_LK_GDS10_SFC
Cs-137,Cs137_GDS10_*
Cs-137_BL,Cs137_GDS10_HTGL
Cs-137_DD,Cs137_DD_GDS10_SFC
Cs-137_WD,Cs137_WD_GDS10_SFC
DBZ,DBZ_GDS10_*
DBZ_850,DBZ_GDS10_SFC
DBZ_CMAX,DBZ_GDS10_EATM
DCI,DCI_GDS10_SFC
DD,DD_GDS10_*
DD_10M,DD_GDS10_HTGL
DD_ANAI,DD_ANAI_GDS10_*
DEPTH_LK,DEPTH_LK_GDS10_SFC
DPSDT,DPSDT_GDS10_SFC
DP_BS_LK,DP_BS_LK_GDS10_SFC
DQVDT,DQVDT_GDS10_*
DQV_CON,DQV_CON_GDS10_*
DT_CON,DT_CON_GDS10_*
DURSUN,DURSUN_GDS10_SFC_acc*
DURSUN_M,DURSUN_M_GDS10_SFC_acc*
DURSUN_R,DURSUN_R_GDS10_SFC_acc*
DU_CON,DU_CON_GDS10_*
DV_CON,DV_CON_GDS10_*
D_RH_2M_K,D_RH_2M_K_GDS10_HTGL
D_TD,D_TD_GDS10_*
D_TD_2M,D_TD_GDS10_HTGL
D_TD_2M_K,D_TD_2M_K_GDS10_HTGL
D_T_2M_K,D_T_2M_K_GDS10_HTGL
EDR,EDR_GDS10_*
ENTH,ENTH_GDS10_*
ENTH_2M,ENTH_GDS10_HTGL
EVATRA_SUM,EVATRA_SUM_GDS10_SFC
FC,FC_GDS10_SFC
FCOR,FCOR_GDS10_SFC
FETCH_LK,FETCH_LK_GDS10_SFC
FF,FF_GDS10_*
FF_10M,FF_GDS10_HTGL
FF_ANAI,FF_ANAI_GDS10_*
FI,FI_GDS10_*
FIS,FI_GDS10_SFC
FI_ANAI,FI_ANAI_GDS10_*
FMAX_10M,FMAX_GDS10_HTGL
FOR_D,FOR_D_GDS10_SFC
FOR_E,FOR_E_GDS10_SFC
FRESHSNW,FRESHSNW_GDS10_SFC
FR_ICE,FR_ICE_GDS10_SFC
FR_LAKE,FR_LAKE_GDS10_SFC
FR_LAND,FR_LAND_GDS10_SFC
FR_PLANT_B,FR_PLANT_B_GDS10_SFC
GAMSO_LK,GAMSO_LK_GDS10_SFC
GEM,GEM_GDS10_SFC
GLOB,GLOB_GDS10_SFC
GLOB_DIF,GLOB_DIF_GDS10_SFC
GLOB_DIR,GLOB_DIR_GDS10_SFC
GLOB_vE,GLOB_vE_GDS10_SFC
GLOB_vN,GLOB_vN_GDS10_SFC
GLOB_vS,GLOB_vS_GDS10_SFC
GLOB_vW,GLOB_vW_GDS10_SFC
GRAU_GSP,GRAU_GSP_GDS10_SFC_acc*
HAIL_GSP,HAIL_GSP_GDS10_SFC_acc*
HBAS_CON,HBAS_CON_GDS10_CBL
HBAS_CONI,HBAS_CONI_GDS10_CBL
HBAS_SC,HBAS_SC_GDS10_CBL
HCBAS,HCBAS_GDS10_CBL
HCTOP,HCTOP_GDS10_CTL
HFL,HH_GDS10_HYBY
HHL,HH_GDS10_HYBL
HI,HI_GDS10_HTGL
HMO3,HMO3_GDS10_SFC
HORIZON,HORIZON_GDS10_HYBY
HPBL,HPBL_GDS10_SFC
HSURF,HH_GDS10_SFC
HTOP_CON,HTOP_CON_GDS10_CTL
HTOP_CONI,HTOP_CONI_GDS10_CTL
HTOP_DC,HTOP_DC_GDS10_SFC
HTOP_SC,HTOP_SC_GDS10_CTL
HZEROCL,HZEROCL_GDS10_0DEG
H_B1_LK,H_B1_LK_GDS10_SFC
H_ICE,H_ICE_GDS10_SFC
H_ML_LK,H_ML_LK_GDS10_SFC
H_SNOW,H_SNOW_GDS10_SFC
I-131a,I131a_GDS10_*
I-131a_BL,I131a_GDS10_HTGL
I-131a_DD,I131a_DD_GDS10_SFC
I-131a_WD,I131a_WD_GDS10_SFC
I-131g,I131g_GDS10_*
I-131g_BL,I131g_GDS10_HTGL
I-131g_DD,I131g_DD_GDS10_SFC
I-131g_WD,I131g_WD_GDS10_SFC
I-131o,I131o_GDS10_*
I-131o_BL,I131o_GDS10_HTGL
I-131o_DD,I131o_DD_GDS10_SFC
I-131o_WD,I131o_WD_GDS10_SFC
KOINDEX,KOINDEX_GDS10_SFC
Kr-85,Kr85_GDS10_*
Kr-85_BL,Kr85_GDS10_HTGL
Kr-85_DD,Kr85_DD_GDS10_SFC
Kr-85_WD,Kr85_WD_GDS10_SFC
LAI,LAI_GDS10_SFC
LAI_MN,LAI_MN_GDS10_SFC
LAI_MX,LAI_MX_GDS10_SFC
LCL_ML,LCL_ML_GDS10_SFC
LFC_ML,LFC_ML_GDS10_SFC
LUM,LUM_GDS10_SFC
LW_IN_T2M,LW_IN_T2M_GDS10_SFC
LW_IN_TG,LW_IN_TG_GDS10_SFC
LW_IN_TS,LW_IN_TS_GDS10_SFC
LW_TG_vS,LW_TG_vS_GDS10_SFC
MFLX_CON,MFLX_CON_GDS10_SFC
MIXRAT,MIXRAT_GDS10_*
MIXRAT_2M,MIXRAT_GDS10_HTGL
O3,O3_GDS10_*
OMEGA,OMEGA_GDS10_*
P,P_GDS10_*
PABS_RAD,APAB_GDS10_SFC
PDIFF_CON,PDIFF_CON_GDS10_SFC
PLCOV,PLCOV_GDS10_SFC
PLCOV_MN,PLCOV_MN_GDS10_SFC
PLCOV_MX,PLCOV_MX_GDS10_SFC
PMSL,PMSL_GDS10_MSL
PMSL_ANAI,PMSL_ANAI_GDS10_MSL
PP,PP_GDS10_*
PRG_GSP,PRG_GSP_GDS10_SFC
PRH_GSP,PRH_GSP_GDS10_SFC
PRR_CON,PRR_CON_GDS10_SFC
PRR_GSP,PRR_GSP_GDS10_SFC
PRS_CON,PRS_CON_GDS10_SFC
PRS_GSP,PRS_GSP_GDS10_SFC
PS,P_GDS10_SFC
P_ANAI,P_ANAI_GDS10_*
P_BIRCH,P_BIRCH_GDS10_HYBY
QC,QC_GDS10_*
QCVG_CON,QCVG_CON_GDS10_SFC
QC_ANAI,QC_ANAI_GDS10_*
QC_RAD,QC_RAD_GDS10_*
QG,QG_GDS10_*
QH,QH_GDS10_*
QI,QI_GDS10_*
QI_RAD,QI_RAD_GDS10_*
QNC,QNC_GDS10_HYBY
QNG,QNG_GDS10_HYBY
QNH,QNH_GDS10_HYBY
QNI,QNI_GDS10_HYBY
QNR,QNR_GDS10_HYBY
QNS,QNS_GDS10_HYBY
QP0_B,QP0_B_GDS10_SFC
QR,QR_GDS10_*
QS,QS_GDS10_*
QV,QV_GDS10_*
QVSFLX,QVSFLX_GDS10_SFC
QV_2M,QV_GDS10_HTGL
QV_ANAI,QV_ANAI_GDS10_*
QV_S,QV_GDS10_SFC
Q_SEDIM,Q_SEDIM_GDS10_*
RADSPQUAL,RADSPQUAL_GDS10_SFC
RAIN_CON,RAIN_CON_GDS10_SFC*
RAIN_GSP,RAIN_GSP_GDS10_SFC*
RCLD,RCLD_GDS10_*
RELHUM,RELHUM_GDS10_*
RELHUM_2M,RELHUM_GDS10_HTGL
RESID_WSO,RESID_WSO_GDS10_SFC
RHO_SNOW,RHO_SNOW_GDS10_SFC
RH_2M_K,RH_2M_K_GDS10_HTGL
RH_ICE,RH_ICE_GDS10_*
RLAT,RLAT_GDS10_SFC
RLON,RLON_GDS10_SFC
ROOTDP,ROOTDP_GDS10_SFC
RUNOFF,RUNOFF_GDS10_DBLY_acc*
Ru-103,Ru103_GDS10_*
Ru-103_BL,Ru103_GDS10_HTGL
Ru-103_DD,Ru103_DD_GDS10_SFC
Ru-103_WD,Ru103_WD_GDS10_SFC
SDI_1,SDI_1_GDS10_SFC
SDI_2,SDI_2_GDS10_SFC
SI,SI_GDS10_SFC
SKYVIEW,SKYVIEW_GDS10_SFC
SLI,SLI_GDS10_SFC
SLO_ANG,SLO_ANG_GDS10_SFC
SLO_ASP,SLO_ASP_GDS10_SFC
SNOWLMT,SNOWLMT_GDS10_0DEG
SNOWLMTCH,SNOWLMTCH_GDS10_0DEG
SNOW_%,SNOW_%_GDS10_SFC
SNOW_CON,SNOW_CON_GDS10_SFC_acc*
SNOW_GSP,SNOW_GSP_GDS10_SFC_acc*
SOBS_RAD,ASOB_GDS10_SFC
SOBT_RAD,ASOB_GDS10_NTAT
SOHR_RAD,SOHR_RAD_GDS10_*
SOILTYP,SOILTYP_GDS10_SFC
SSO_GAMMA,SSO_GAMMA_GDS10_SFC
SSO_SIGMA,SSO_SIGMA_GDS10_SFC
SSO_STDH,SSO_STDH_GDS10_SFC
SSO_THETA,SSO_THETA_GDS10_SFC
SUNSH,SUNSH_GDS10_SFC
SUNSH2,SUNSH2_GDS10_SFC
